
Image Name                     PID Services                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Registry                       120 N/A                                         
smss.exe                       460 N/A                                         
csrss.exe                      660 N/A                                         
wininit.exe                    744 N/A                                         
services.exe                   816 N/A                                         
lsass.exe                      836 KeyIso, SamSs, VaultSvc                     
svchost.exe                    952 PlugPlay                                    
svchost.exe                    976 BrokerInfrastructure, DcomLaunch, Power,    
                                   SystemEventsBroker                          
fontdrvhost.exe               1000 N/A                                         
svchost.exe                    476 RpcEptMapper, RpcSs                         
svchost.exe                    664 LSM                                         
svchost.exe                   1260 bthserv                                     
svchost.exe                   1268 BthAvctpSvc                                 
svchost.exe                   1276 BTAGService                                 
svchost.exe                   1372 NcbService                                  
svchost.exe                   1380 TimeBrokerSvc                               
svchost.exe                   1464 Schedule                                    
svchost.exe                   1492 DisplayEnhancementService                   
IntelCpHDCPSvc.exe            1524 cplspcon                                    
svchost.exe                   1556 hidserv                                     
svchost.exe                   1608 ProfSvc                                     
svchost.exe                   1712 EventLog                                    
svchost.exe                   1812 CoreMessagingRegistrar                      
IntelCpHeciSvc.exe            1892 cphs                                        
svchost.exe                   1928 UserManager                                 
svchost.exe                    756 nsi                                         
svchost.exe                   2072 SysMain                                     
svchost.exe                   2080 Themes                                      
svchost.exe                   2096 EventSystem                                 
svchost.exe                   2108 Dhcp                                        
Memory Compression            2300 N/A                                         
svchost.exe                   2348 SENS                                        
svchost.exe                   2360 DeviceAssociationService                    
svchost.exe                   2368 SEMgrSvc                                    
svchost.exe                   2428 NlaSvc                                      
svchost.exe                   2460 StateRepository                             
svchost.exe                   2500 DispBrokerDesktopSvc                        
igfxCUIService.exe            2508 igfxCUIService2.0.0.0                       
svchost.exe                   2588 AudioEndpointBuilder                        
svchost.exe                   2596 FontCache                                   
svchost.exe                   2696 Dnscache                                    
svchost.exe                   2820 netprofm                                    
svchost.exe                   2908 Audiosrv                                    
svchost.exe                   2992 Wcmsvc                                      
svchost.exe                   2996 DusmSvc                                     
svchost.exe                   3124 WinHttpAutoProxySvc                         
svchost.exe                   3200 WlanSvc                                     
svchost.exe                   3316 ShellHWDetection                            
wlanext.exe                   3404 N/A                                         
spoolsv.exe                   3456 Spooler                                     
conhost.exe                   3464 N/A                                         
svchost.exe                   3544 BFE, mpssvc                                 
svchost.exe                   3600 LanmanWorkstation                           
svchost.exe                   3728 IKEEXT                                      
svchost.exe                   3736 PolicyAgent                                 
svchost.exe                   3876 DiagTrack                                   
svchost.exe                   3896 DPS                                         
svchost.exe                   3888 CryptSvc                                    
MSIAPService.exe              3904 MSI Foundation Service                      
svchost.exe                   3912 Winmgmt                                     
MSIService.exe                3924 Micro Star SCM                              
NahimicService.exe            3952 NahimicService                              
OneApp.IGCC.WinService.ex     3968 igccservice                                 
NortonSecurity.exe            3976 NortonSecurity                              
svchost.exe                   3988 SstpSvc                                     
armsvc.exe                    4004 AdobeARMservice                             
svchost.exe                   4044 LanmanServer                                
nsWscSvc.exe                  4052 nsWscSvc                                    
svchost.exe                   3248 stisvc                                      
svchost.exe                   3268 TrkWks                                      
Sendevsvc.exe                 3276 Sendevsvc                                   
svchost.exe                   3260 WpnService                                  
SafeConnect.ServiceHost.e     3344 SafeConnectService                          
InstallAssistService.exe      3356 Wondershare InstallAssist                   
RtkAudUService64.exe          3672 RtkAudioUniversalService                    
svchost.exe                   4196 iphlpsvc                                    
svchost.exe                   4220 TapiSrv                                     
svchost.exe                   4444 WdiServiceHost                              
svchost.exe                   4596 RasMan                                      
jhi_service.exe               4636 jhi_service                                 
svchost.exe                   5976 TokenBroker                                 
svchost.exe                   6060 TabletInputService                          
svchost.exe                   6304 CDPSvc                                      
svchost.exe                   6768 lfsvc                                       
GoogleCrashHandler.exe        8760 N/A                                         
GoogleCrashHandler64.exe      8912 N/A                                         
svchost.exe                   9020 BITS                                        
svchost.exe                   9080 SSDPSRV                                     
dllhost.exe                   9624 N/A                                         
svchost.exe                   3472 Appinfo                                     
svchost.exe                   1540 UsoSvc                                      
svchost.exe                   4024 wuauserv                                    
svchost.exe                   1420 PcaSvc                                      
svchost.exe                  10544 LicenseManager                              
SecurityHealthService.exe    11360 SecurityHealthService                       
McCSPServiceHost.exe         13980 mccspsvc                                    
SgrmBroker.exe               13376 SgrmBroker                                  
svchost.exe                  13276 wscsvc                                      
svchost.exe                   8064 StorSvc                                     
svchost.exe                   7900 camsvc                                      
svchost.exe                   4172 WbioSrvc                                    
svchost.exe                   2988 InstallService                              
svchost.exe                   8084 DsSvc                                       
WmiPrvSE.exe                  1512 N/A                                         
svchost.exe                  10488 QWAVE                                       
svchost.exe                   6764 DoSvc                                       
csrss.exe                     7552 N/A                                         
winlogon.exe                 13052 N/A                                         
fontdrvhost.exe              14596 N/A                                         
dwm.exe                      11344 N/A                                         
sihost.exe                    1600 N/A                                         
svchost.exe                   1040 BluetoothUserService_199ed95                
svchost.exe                   5984 CDPUserSvc_199ed95                          
igfxEM.exe                   14496 N/A                                         
svchost.exe                   5092 WpnUserService_199ed95                      
taskhostw.exe                 4692 N/A                                         
explorer.exe                 13224 N/A                                         
svchost.exe                   3596 cbdhsvc_199ed95                             
nahimicNotifSys.exe          14760 N/A                                         
NahimicSvc64.exe             12688 N/A                                         
NahimicSvc32.exe             11716 N/A                                         
StartMenuExperienceHost.e     9580 N/A                                         
WindowsInternal.Composabl     7336 N/A                                         
RuntimeBroker.exe             8524 N/A                                         
SearchUI.exe                  5788 N/A                                         
RuntimeBroker.exe            14456 N/A                                         
SettingSyncHost.exe          13088 N/A                                         
ctfmon.exe                   10200 N/A                                         
RuntimeBroker.exe            13520 N/A                                         
SecurityHealthSystray.exe    11592 N/A                                         
RtkAudUService64.exe          3836 N/A                                         
SSScheduler.exe               7692 N/A                                         
NortonSecurity.exe           13840 N/A                                         
ApplicationFrameHost.exe     14284 N/A                                         
svchost.exe                   9852 OneSyncSvc_199ed95,                         
                                   PimIndexMaintenanceSvc_199ed95,             
                                   UnistoreSvc_199ed95, UserDataSvc_199ed95    
LockApp.exe                   2004 N/A                                         
RuntimeBroker.exe             2632 N/A                                         
ShellExperienceHost.exe       8188 N/A                                         
RuntimeBroker.exe            11088 N/A                                         
taskhostw.exe                 9496 N/A                                         
Video.UI.exe                 11936 N/A                                         
RuntimeBroker.exe             6164 N/A                                         
CompPkgSrv.exe               13756 N/A                                         
dllhost.exe                   6112 N/A                                         
rundll32.exe                 11712 N/A                                         
Microsoft.Photos.exe         13184 N/A                                         
RuntimeBroker.exe            11032 N/A                                         
usocoreworker.exe            15512 N/A                                         
McUICnt.exe                  19224 N/A                                         
svchost.exe                  12260 DevicesFlowUserSvc_199ed95                  
SystemSettings.exe           13972 N/A                                         
UserOOBEBroker.exe           13604 N/A                                         
OfficeClickToRun.exe         15916 ClickToRunSvc                               
AppVShNotify.exe              5452 N/A                                         
AppVShNotify.exe              8012 N/A                                         
SearchIndexer.exe            19072 WSearch                                     
smartscreen.exe               8460 N/A                                         
WinStore.App.exe             18260 N/A                                         
RuntimeBroker.exe            14320 N/A                                         
Code.exe                     18764 N/A                                         
Code.exe                     17844 N/A                                         
Code.exe                      5992 N/A                                         
Code.exe                      8360 N/A                                         
Code.exe                      9668 N/A                                         
Code.exe                      7012 N/A                                         
Code.exe                     10840 N/A                                         
CodeHelper.exe                6384 N/A                                         
conhost.exe                  16220 N/A                                         
Code.exe                      1948 N/A                                         
Code.exe                     16016 N/A                                         
Code.exe                     11756 N/A                                         
Code.exe                     17528 N/A                                         
Code.exe                      5824 N/A                                         
Code.exe                     18364 N/A                                         
chrome.exe                   17868 N/A                                         
chrome.exe                   14704 N/A                                         
chrome.exe                   13264 N/A                                         
chrome.exe                    8952 N/A                                         
chrome.exe                   14512 N/A                                         
chrome.exe                   15268 N/A                                         
chrome.exe                   11996 N/A                                         
chrome.exe                    6592 N/A                                         
Code.exe                     18988 N/A                                         
chrome.exe                   12168 N/A                                         
svchost.exe                  15152 Netman                                      
YourPhone.exe                13096 N/A                                         
RuntimeBroker.exe            17752 N/A                                         
svchost.exe                  12304 AppXSvc                                     
chrome.exe                    9524 N/A                                         
chrome.exe                   20256 N/A                                         
chrome.exe                   19548 N/A                                         
chrome.exe                   20260 N/A                                         
chrome.exe                   14792 N/A                                         
chrome.exe                   19096 N/A                                         
chrome.exe                   12496 N/A                                         
chrome.exe                   19488 N/A                                         
chrome.exe                   17512 N/A                                         
chrome.exe                    9700 N/A                                         
chrome.exe                   18184 N/A                                         
chrome.exe                   19776 N/A                                         
chrome.exe                   11848 N/A                                         
chrome.exe                    7504 N/A                                         
chrome.exe                    5848 N/A                                         
chrome.exe                   20084 N/A                                         
chrome.exe                    1080 N/A                                         
chrome.exe                    1364 N/A                                         
chrome.exe                   17164 N/A                                         
chrome.exe                   19796 N/A                                         
chrome.exe                    2548 N/A                                         
svchost.exe                   6052 lmhosts                                     
Code.exe                     11576 N/A                                         
